"행정구역","2023년07월_총인구수","2023년07월_세대수","2023년07월_세대당 인구","2023년07월_남자 인구수","2023년07월_여자 인구수","2023년07월_남여 비율","2023년08월_총인구수","2023년08월_세대수","2023년08월_세대당 인구","2023년08월_남자 인구수","2023년08월_여자 인구수","2023년08월_남여 비율","2023년09월_총인구수","2023년09월_세대수","2023년09월_세대당 인구","2023년09월_남자 인구수","2023년09월_여자 인구수","2023년09월_남여 비율"
"서울특별시  (1100000000)","9,411,260","4,471,174","          2.10","4,555,784","4,855,476","          0.94","9,409,466","4,473,734","          2.10","4,554,020","4,855,446","          0.94","9,407,540","4,475,726","          2.10","4,552,501","4,855,039","          0.94"
"서울특별시 서울특별시 종로구 (1111000000)","140,206","72,440","          1.94","67,747","72,459","          0.93","140,032","72,381","          1.93","67,682","72,350","          0.94","139,945","72,304","          1.94","67,625","72,320","          0.94"
"서울특별시 서울특별시 중구 (1114000000)","121,460","64,465","          1.88","58,899","62,561","          0.94","121,482","64,558","          1.88","58,840","62,642","          0.94","121,405","64,609","          1.88","58,788","62,617","          0.94"
"서울특별시 서울특별시 용산구 (1117000000)","217,042","109,674","          1.98","104,221","112,821","          0.92","216,547","109,527","          1.98","103,993","112,554","          0.92","216,152","109,360","          1.98","103,804","112,348","          0.92"
"서울특별시 서울특별시 성동구 (1120000000)","279,142","133,464","          2.09","135,562","143,580","          0.94","278,750","133,433","          2.09","135,346","143,404","          0.94","278,366","133,366","          2.09","135,143","143,223","          0.94"
"서울특별시 서울특별시 광진구 (1121500000)","336,141","169,935","          1.98","161,729","174,412","          0.93","336,446","170,210","          1.98","161,828","174,618","          0.93","336,604","170,388","          1.98","161,892","174,712","          0.93"
"서울특별시 서울특별시 동대문구 (1123000000)","338,657","171,945","          1.97","166,298","172,359","          0.96","340,333","172,680","          1.97","167,083","173,250","          0.96","341,238","173,091","          1.97","167,468","173,770","          0.96"
"서울특별시 서울특별시 중랑구 (1126000000)","383,687","187,978","          2.04","188,446","195,241","          0.97","383,072","187,877","          2.04","188,091","194,981","          0.96","382,797","187,900","          2.04","187,844","194,953","          0.96"
"서울특별시 서울특별시 성북구 (1129000000)","428,507","197,686","          2.17","205,714","222,793","          0.92","428,122","197,673","          2.17","205,537","222,585","          0.92","427,671","197,607","          2.16","205,245","222,426","          0.92"
"서울특별시 서울특별시 강북구 (1130500000)","291,025","144,427","          2.02","141,112","149,913","          0.94","290,583","144,345","          2.01","140,828","149,755","          0.94","290,155","144,269","          2.01","140,589","149,566","          0.94"
"서울특별시 서울특별시 도봉구 (1132000000)","308,447","138,069","          2.23","149,718","158,729","          0.94","307,968","138,102","          2.23","149,408","158,560","          0.94","307,740","138,210","          2.23","149,281","158,459","          0.94"
"서울특별시 서울특별시 노원구 (1135000000)","500,094","218,003","          2.29","240,150","259,944","          0.92","499,908","218,087","          2.29","240,063","259,845","          0.92","499,989","218,367","          2.29","240,084","259,905","          0.92"
"서울특별시 서울특별시 은평구 (1138000000)","463,702","214,175","          2.17","220,452","243,250","          0.91","465,977","215,200","          2.17","221,459","244,518","          0.91","467,098","215,776","          2.16","221,977","245,121","          0.91"
"서울특별시 서울특별시 서대문구 (1141000000)","307,870","147,184","          2.09","146,409","161,461","          0.91","307,672","147,271","          2.09","146,292","161,380","          0.91","307,441","147,333","          2.09","146,119","161,322","          0.91"
"서울특별시 서울특별시 마포구 (1144000000)","364,978","181,163","          2.01","170,734","194,244","          0.88","364,573","181,177","          2.01","170,455","194,118","          0.88","364,257","181,192","          2.01","170,296","193,961","          0.88"
"서울특별시 서울특별시 양천구 (1147000000)","438,125","181,264","          2.42","213,992","224,133","          0.95","437,665","181,139","          2.42","213,802","223,863","          0.96","437,401","181,072","          2.42","213,648","223,753","          0.95"
"서울특별시 서울특별시 강서구 (1150000000)","566,333","274,601","          2.06","271,536","294,797","          0.92","565,195","274,426","          2.06","270,918","294,277","          0.92","564,339","274,249","          2.06","270,491","293,848","          0.92"
"서울특별시 서울특별시 구로구 (1153000000)","394,746","184,616","          2.14","193,696","201,050","          0.96","394,363","184,484","          2.14","193,517","200,846","          0.96","393,929","184,467","          2.14","193,258","200,671","          0.96"
"서울특별시 서울특별시 금천구 (1154500000)","229,086","120,628","          1.90","115,339","113,747","          1.01","228,858","120,696","          1.90","115,190","113,668","          1.01","228,611","120,650","          1.89","115,038","113,573","          1.01"
"서울특별시 서울특별시 영등포구 (1156000000)","375,997","190,531","          1.97","184,522","191,475","          0.96","375,526","190,508","          1.97","184,189","191,337","          0.96","375,586","190,761","          1.97","184,175","191,411","          0.96"
"서울특별시 서울특별시 동작구 (1159000000)","380,562","187,112","          2.03","184,127","196,435","          0.94","380,478","187,178","          2.03","184,062","196,416","          0.94","380,154","187,199","          2.03","183,880","196,274","          0.94"
"서울특별시 서울특별시 관악구 (1162000000)","486,633","286,569","          1.70","244,793","241,840","          1.01","485,994","286,379","          1.70","244,539","241,455","          1.01","485,172","286,045","          1.70","244,198","240,974","          1.01"
"서울특별시 서울특별시 서초구 (1165000000)","404,731","168,844","          2.40","192,945","211,786","          0.91","404,616","168,924","          2.40","192,847","211,769","          0.91","406,404","169,621","          2.40","193,703","212,701","          0.91"
"서울특별시 서울특별시 강남구 (1168000000)","538,872","237,646","          2.27","257,631","281,241","          0.92","540,730","238,500","          2.27","258,464","282,266","          0.92","540,957","238,647","          2.27","258,656","282,301","          0.92"
"서울특별시 서울특별시 송파구 (1171000000)","656,603","285,951","          2.30","315,715","340,888","          0.93","656,176","286,095","          2.29","315,487","340,689","          0.93","655,744","286,123","          2.29","315,224","340,520","          0.93"
"서울특별시 서울특별시 강동구 (1174000000)","458,614","202,804","          2.26","224,297","234,317","          0.96","458,400","202,884","          2.26","224,100","234,300","          0.96","458,385","203,120","          2.26","224,075","234,310","          0.96"
